UID	Session	Run	SubjNum	Args	SiteName	Note	Run according to Ben (testing)																				
361	FED_20160510a_3T2	7	1003	2, 2, 1	'MIT'																						
361	FED_20160510a_3T2	9	1003	2, 2, 2	'MIT'																						
361	FED_20160510a_3T2	11	1003	2, 3, 1	'MIT'																						
361	FED_20160510a_3T2	13	1003	2, 3, 2	'MIT'																						
361	FED_20160510a_3T2	15	1003	2, 4, 1	'MIT'																						
361	FED_20160510a_3T2	19	1003	2, 4, 2	'MIT'																						
361	FED_20160510a_3T2	21	1003	2, 5, 1	'MIT'																						
361	FED_20160510a_3T2	23	1003	2, 5, 2	'MIT'																						
366	FED_20160509a_3T2	5	903	2, 1, 1	'MIT'																						
366	FED_20160509a_3T2	7	903	2, 1, 2	'MIT'																						
366	FED_20160509a_3T2	9	903	2, 2, 1	'MIT'																						
366	FED_20160509a_3T2	11	903	2, 2, 2	'MIT'																						
366	FED_20160509a_3T2	13	903	2, 3, 1	'MIT'	took a brief break																					
366	FED_20160509a_3T2	15	903	2, 3, 2	'MIT'	took a brief break																					
366	FED_20160509a_3T2	17	903	2, 4, 1	'MIT'																						
366	FED_20160509a_3T2	19	903	2, 4, 2	'MIT'																						
366	FED_20160509a_3T2	21	903	2, 5, 1	'MIT'																						
366	FED_20160509a_3T2	23	903	2, 5, 2	'MIT'																						
366	FED_20160509a_3T2	25	903	2, 6, 1	'MIT'																						
366	FED_20160509a_3T2	27	903	2, 6, 2	'MIT'																						
407	FED_20161104b_3T2	5	1401	2, 1, 1	'MIT'																						
407	FED_20161104b_3T2	7	1401	2, 1, 2	'MIT'																						
407	FED_20161104b_3T2	9	1401	2, 2, 1	'MIT'																						
407	FED_20161104b_3T2	11	1401	2, 2, 2	'MIT'																						
407	FED_20161104b_3T2	13	1401	2, 3, 1	'MIT'																						
407	FED_20161104b_3T2	15	1401	2, 3, 2	'MIT'																						
407	FED_20161104b_3T2	17	1401	2, 4, 1	'MIT'																						
407	FED_20161104b_3T2	19	1401	2, 4, 2	'MIT'																						
407	FED_20161104b_3T2	21	1401	2, 5, 1	'MIT'																						
407	FED_20161104b_3T2	23	1401	2, 5, 2	'MIT'																						
408	FED_20160621a_3T2	7	1102	2, 1, 1	'MIT'	IPS = 168																					
408	FED_20160621a_3T2	9	1102	2, 1, 2	'MIT'																						
408	FED_20160621a_3T2	11	1102	2, 2, 1	'MIT'																						
408	FED_20160621a_3T2	13	1102	2, 2, 2	'MIT'																						
408	FED_20160621a_3T2	17	1102	2, 3, 1	'MIT'																						
408	FED_20160621a_3T2	19	1102	2, 3, 2	'MIT'																						
408	FED_20160621a_3T2	21	1102	2, 4, 1	'MIT'																						
408	FED_20160621a_3T2	23	1102	2, 4, 2	'MIT'																						
408	FED_20160621a_3T2	25	1102	2, 5, 1	'MIT'																						
408	FED_20160621a_3T2	27	1102	2, 5, 2	'MIT'																						
411	FED_20160627b_3T1	4	1202	2, 2, 1	'MIT'	started @ rep 2 to avoid showing same order																					
411	FED_20160627b_3T1	6	1202	2, 2, 2	'MIT'	Maria: 20160623b OR 20160627a might have the rest of the data																					
411	FED_20160627b_3T1	8	1202	2, 3, 1	'MIT'																						
411	FED_20160627b_3T1	10	1202	2, 3, 2	'MIT'																						
411	FED_20160627b_3T1	12	1202	2, 4, 1	'MIT'																						
411	FED_20160627b_3T1	14	1202	2, 4, 2	'MIT'																						
411	FED_20160627b_3T1	16	1202	2, 5, 1	'MIT'																						
411	FED_20160627b_3T1	18	1202	2, 5, 2	'MIT'																						
426	FED_20161114b_3T1	5	1502	2, 1, 1	'MIT'																						
426	FED_20161114b_3T1	7	1502	2, 1, 2	'MIT'																						
426	FED_20161114b_3T1	9	1502	2, 2, 1	'MIT'																						
426	FED_20161114b_3T1	11	1502	2, 2, 2	'MIT'																						
426	FED_20161114b_3T1	13	1502	2, 3, 1	'MIT'																						
426	FED_20161114b_3T1	15	1502	2, 3, 2	'MIT'																						
426	FED_20161114b_3T1	17	1502	2, 4, 1	'MIT'																						
426	FED_20161114b_3T1	19	1502	2, 4, 2	'MIT'																						
426	FED_20161114b_3T1	21	1502	2, 5, 1	'MIT'																						
426	FED_20161114b_3T1	23	1502	2, 5, 2	'MIT'																						
426	FED_20161114b_3T1	25	1502	2, 6, 1	'MIT'																						
426	FED_20161114b_3T1	27	1502	2, 6, 2	'MIT'																						
289	FED_20150722a_3T1	8	107	3, 1, 1	'MIT'																						
289	FED_20150722a_3T1	10	107	3, 1, 2	'MIT'																						
289	FED_20150722a_3T1	12	107	3, 2, 1	'MIT'																						
289	FED_20150722a_3T1	14	107	3, 2, 2	'MIT'	took sub. out (bathroom)																					
289	FED_20150722a_3T1	17	107	3, 3, 1	'MIT'																						
289	FED_20150722a_3T1	19	107	3, 3, 2	'MIT'																						
289	FED_20150722a_3T1	21	107	3, 4, 1	'MIT'																						
289	FED_20150722a_3T1	23	107	3, 4, 2	'MIT'																						
289	FED_20150722a_3T1	25	107	3, 5, 1	'MIT'																						
289	FED_20150722a_3T1	27	107	3, 5, 2	'MIT'																						
289	FED_20150619a_3T1	6	105	1, 1, 1			6																				
289	FED_20150619a_3T1	8	105	1, 1, 2			8																				
289	FED_20150619a_3T1	10	105	1, 2, 1			10																				
289	FED_20150619a_3T1	12	105	1, 2, 2			12																				
289	FED_20150619a_3T1	16	105	1, 3, 1			16																				
289	FED_20150619a_3T1	18	105	1, 3, 2			18																				
289	FED_20150619a_3T1	20	105	1, 4, 1			20																				
289	FED_20150619a_3T1	22	105	1, 4, 2			22																				
289	FED_20150619a_3T1	28	105	1, 5, 1			28																				
289	FED_20150619a_3T1	30	105	1, 5, 2		Maria: doesn't have second check mark	30																				
289	FED_20150613b_3T1	4	102	2, 1, 1		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	6	102	2, 1, 2		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	8	102	2, 2, 1		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	10	102	2, 2, 2		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	14	102	2, 3, 1		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	16	102	2, 3, 2		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	20	102	2, 4, 1		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	22	102	2, 4, 2		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	26	102	2, 5, 1		Maria: run numbers adjusted based on dicom summary																					
289	FED_20150613b_3T1	28	102	2, 5, 2		Maria: run numbers adjusted based on dicom summary																					
